fold,accuracy,f1_score,recall
1,0.9881872378008391,0.9916996354045458,0.995173594893352
2,0.9892912342680503,0.992473034841313,0.9956406663552857
3,0.9889600353278869,0.9922396399192922,0.9953292853806632
4,0.9880755216959258,0.9916266087765545,0.9957957022734351
5,0.98862758087667,0.9920049677870061,0.9948622139187295
