epoch,epsilon,accuracy
1,0.19561591407494516,0.7406818583289172
2,0.2672166274152351,0.9024907260201378
3,0.3236788290968804,0.9051404345521993
4,0.3721162263370739,0.9298710475181063
5,0.4153390530236703,0.9524818936583642
6,0.45481349986972863,0.963963963963964
7,0.49141940723500166,0.9701466172054407
8,0.5257376614214732,0.9726196785020315
9,0.5581738664551642,0.9735029146793853
10,0.5890257546305132,0.9747394453276806
