noise_multiplier,fold,epoch,epsilon,delta,accuracy,f1_score,recall
0.5,1,1,3.882414404429132,1e-05,0.9403841907705895,0.958152510849349,0.9624785925579947
0.5,1,2,4.395565712583282,1e-05,0.8989843232501656,0.9236673062484358,0.8619025377549432
0.5,1,3,4.777218938200746,1e-05,0.9406049900640318,0.9566268945501452,0.9237116612174996
0.5,1,4,5.101573548475856,1e-05,0.964451313755796,0.9745735944409349,0.9607659971975713
0.5,1,5,5.391607955382924,1e-05,0.9701920953852947,0.9787702468941657,0.9690175930250662
0.5,2,1,3.882414404429132,1e-05,0.9432545815853389,0.9605586249232658,0.974466760080959
0.5,2,2,4.395565712583282,1e-05,0.9130050783837492,0.9350478074513683,0.8830764440292698
0.5,2,3,4.777218938200746,1e-05,0.9489953632148377,0.9629926305671259,0.9358555192277752
0.5,2,4,5.101573548475856,1e-05,0.9673217045705453,0.9766965832152417,0.9657480927915304
0.5,2,5,5.391607955382924,1e-05,0.9732832854934864,0.9811320754716981,0.9796045461622295
0.5,3,1,3.882414404429132,1e-05,0.9387281960697725,0.9573372280728726,0.9694846644869999
0.5,3,2,4.395565712583282,1e-05,0.9040627069993376,0.9279376399369765,0.8710882765063055
0.5,3,3,4.777218938200746,1e-05,0.9455729741664827,0.9604429110166092,0.9318075665576834
0.5,3,4,5.101573548475856,1e-05,0.9663281077500552,0.9759558533701221,0.9637241164564845
0.5,3,5,5.391607955382924,1e-05,0.9747184809008611,0.9821386787302082,0.9802273081114744
0.5,4,1,3.882414404429132,1e-05,0.9347466048360384,0.9542958781223416,0.9607598878853939
0.5,4,2,4.395565712583282,1e-05,0.9093518825218063,0.9321543674076522,0.8782310806602305
0.5,4,3,4.777218938200746,1e-05,0.9465606713039638,0.961186848436247,0.9331983805668016
0.5,4,4,5.101573548475856,1e-05,0.9665452136469029,0.9761960876738157,0.9674556213017751
0.5,4,5,5.391607955382924,1e-05,0.9743844540134703,0.9819286493223244,0.9814699470569916
0.5,5,1,3.882414404429132,1e-05,0.9355194876890802,0.9542104437823428,0.9473766152888059
0.5,5,2,4.395565712583282,1e-05,0.8954399911670531,0.9208260178914807,0.8573875136229177
0.5,5,3,4.777218938200746,1e-05,0.9439107872363918,0.9591639871382637,0.9288494472987701
0.5,5,4,5.101573548475856,1e-05,0.9679805675168378,0.9772298994974874,0.968861902537755
0.5,5,5,5.391607955382924,1e-05,0.9708512752567076,0.979297365119197,0.9721314027712906
1.0,1,1,0.22460475768678878,1e-05,0.7090969308898212,0.8297913571474711,1.0
1.0,1,2,0.3049759907713294,1e-05,0.9236034444689777,0.9447019338341058,0.9202864704966527
1.0,1,3,0.3684581105296219,1e-05,0.8908147493928019,0.9173836772199482,0.854896465825938
1.0,1,4,0.4229752459559311,1e-05,0.8997571207772135,0.9242954810738703,0.8629923711661217
1.0,1,5,0.47166264758441556,1e-05,0.9149922720247295,0.9366150806717155,0.8857231823135606
1.0,2,1,0.22460475768678878,1e-05,0.7090969308898212,0.8297913571474711,1.0
1.0,2,2,0.3049759907713294,1e-05,0.9206226540075072,0.9421886306987216,0.9121905651564689
1.0,2,3,0.3684581105296219,1e-05,0.9003091190108191,0.9247938702423586,0.8643935855519228
1.0,2,4,0.4229752459559311,1e-05,0.906933097814087,0.9301400513797962,0.8737350147905963
1.0,2,5,0.47166264758441556,1e-05,0.9248178405829102,0.9443672902540642,0.8998910166588822
1.0,3,1,0.22460475768678878,1e-05,0.7090969308898212,0.8297913571474711,1.0
1.0,3,2,0.3049759907713294,1e-05,0.9174210642525944,0.9399775316963569,0.9118791841818464
1.0,3,3,0.3684581105296219,1e-05,0.8936851402075513,0.9194344516021082,0.855519227775183
1.0,3,4,0.4229752459559311,1e-05,0.8995363214837713,0.9242550357915765,0.8643935855519228
1.0,3,5,0.47166264758441556,1e-05,0.9125634797968647,0.9347718662493824,0.8835435154912035
1.0,4,1,0.22460475768678878,1e-05,0.7091752235839682,0.8298229745445148,1.0
1.0,4,2,0.3049759907713294,1e-05,0.909572706194104,0.9338181818181818,0.8997197134848957
1.0,4,3,0.3684581105296219,1e-05,0.9000772882853042,0.9247276054229394,0.8656181874805357
1.0,4,4,0.4229752459559311,1e-05,0.9113392955724854,0.9337841180836151,0.8816568047337278
1.0,4,5,0.47166264758441556,1e-05,0.9232637738765596,0.9432421396488363,0.8992525692930551
1.0,5,1,0.22460475768678878,1e-05,0.7091752235839682,0.82984496124031,1.0
1.0,5,2,0.3049759907713294,1e-05,0.9281218946671083,0.9481150872718578,0.926047018527168
1.0,5,3,0.3684581105296219,1e-05,0.8895881638511648,0.9160087350915505,0.8489802273081115
1.0,5,4,0.4229752459559311,1e-05,0.8964336976923927,0.9216374269005848,0.8587887280087186
1.0,5,5,0.47166264758441556,1e-05,0.909572706194104,0.9322860686233981,0.8777829674606882
2.0,1,1,0.0791167213253841,1e-05,0.7090969308898212,0.8297913571474711,1.0
2.0,1,2,0.10996393949551724,1e-05,0.7090969308898212,0.8297913571474711,1.0
2.0,1,3,0.1341627380838385,1e-05,0.8279973504084787,0.8915192870073806,0.9967304997664642
2.0,1,4,0.1548536182657601,1e-05,0.9133362773239125,0.9367292657370839,0.9047174217655302
2.0,1,5,0.17327484176745742,1e-05,0.8912563479796864,0.9179645206962606,0.8580102755721626
2.0,2,1,0.0791167213253841,1e-05,0.7090969308898212,0.8297913571474711,1.0
2.0,2,2,0.10996393949551724,1e-05,0.7090969308898212,0.8297913571474711,1.0
2.0,2,3,0.1341627380838385,1e-05,0.8166261867962022,0.8853296513634794,0.9982874046395765
2.0,2,4,0.1548536182657601,1e-05,0.9050563038198278,0.9297500408429995,0.8860345632881831
2.0,2,5,0.17327484176745742,1e-05,0.9004195186575403,0.9250083139341536,0.8661061809123463
2.0,3,1,0.0791167213253841,1e-05,0.7090969308898212,0.8297913571474711,1.0
2.0,3,2,0.10996393949551724,1e-05,0.7093177301832634,0.8298985722591898,1.0
2.0,3,3,0.1341627380838385,1e-05,0.8518436741002429,0.9052259887005649,0.9978203331776428
2.0,3,4,0.1548536182657601,1e-05,0.9138882755575182,0.937046004842615,0.9037832788416628
