epoch,epsilon,delta,val_accuracy,val_f1,val_recall,noise_multiplier,max_grad_norm,batch_size,lr,freeze_encoder,test_accuracy,test_f1,test_recall
1,4.63405877568436,1e-05,0.5182849936948297,0.6825924387203988,1.0,0.5,1.0,32,5e-05,True,,,
2,5.08000386905442,1e-05,0.5223833543505675,0.684440741512185,1.0,0.5,1.0,32,5e-05,True,,,
3,5.4215865070702245,1e-05,0.5961538461538461,0.7195095248522005,1.0,0.5,1.0,32,5e-05,True,,,
4,5.710742748588949,1e-05,0.7670239596469105,0.8154806491885144,0.9939135727328059,0.5,1.0,32,5e-05,True,,,
5,5.959216655908109,1e-05,0.7900378310214375,0.8301886792452831,0.9908703590992087,0.5,1.0,32,5e-05,True,,,
TEST,5.959216655908109,1e-05,,,,0.5,1.0,32,5e-05,True,0.7783732660781841,0.8199743918053777,0.9876619370758791
