epoch,epsilon,delta,avg_loss,val_accuracy,val_f1,val_recall
1,4.63405877568436,1e-05,0.6754088378434838,0.5182849936948297,0.6825924387203988,1.0
2,5.08000386905442,1e-05,0.6426366004344034,0.5223833543505675,0.684440741512185,1.0
3,5.4215865070702245,1e-05,0.6172680196961018,0.5961538461538461,0.7195095248522005,1.0
4,5.710742748588949,1e-05,0.5571489571846843,0.7670239596469105,0.8154806491885144,0.9939135727328059
5,5.959216655908109,1e-05,0.4959846523257182,0.7900378310214375,0.8301886792452831,0.9908703590992087
